url,condition,car,price
www.cars.com/vehicledetail/50ca7822-129e-47b9-bcbc-ab94b5914fac/,Ferrari Certified,2019 Ferrari 812 Superfast,$432900
www.cars.com/vehicledetail/6c03f3af-44f8-47d4-98e0-23cb9378abdd/,Used,2017 Ferrari 488 Spider Base,$355000
www.cars.com/vehicledetail/1ac6be6b-7af5-4468-8aa8-e1fe1b530597/,Used,2020 Ferrari Portofino Base,$289995
www.cars.com/vehicledetail/79e7e9d2-7d89-4217-8417-9fc9980b72ea/,Ferrari Certified,2019 Ferrari Portofino Base,$279900
www.cars.com/vehicledetail/b0301ee1-29ab-456b-aefc-b777219629ca/,Used,2019 Ferrari 812 Superfast Base,$439900
www.cars.com/vehicledetail/644b8600-05e1-4da4-b8cb-a2f7883b1d8b/,Used,2020 Ferrari 488 Pista Base,$609995
www.cars.com/vehicledetail/89439fb3-c1bf-4fce-9fd9-662a64823f9b/,Used,2001 Ferrari 360 Spider,$99950
www.cars.com/vehicledetail/72c74913-f2da-4fda-8f3c-a3a53ce717f3/,Used,2008 Ferrari F430 Spider,$194900
www.cars.com/vehicledetail/adb2d9a5-6bab-4737-a530-60c7c639d6d5/,Used,2020 Ferrari 488 Pista Base,$630000
www.cars.com/vehicledetail/51e4e45c-31dd-40d9-b9d8-a05253013105/,Used,2013 Ferrari 458 Italia Base,$224824
www.cars.com/vehicledetail/8c3c2eab-2edf-458f-9582-a6f4cf0bbe7a/,Used,2019 Ferrari GTC4Lusso T,$244015
www.cars.com/vehicledetail/2210d06a-1dba-42bf-98c9-85999d814dfc/,Used,2018 Ferrari 488 GTB Base,$339900
www.cars.com/vehicledetail/583309b5-a698-4f35-b035-4e307eb7ff96/,Used,2016 Ferrari FF Base,$184994
www.cars.com/vehicledetail/b86cd9c9-857b-4fbe-b6c6-6ea5f21dae60/,Ferrari Certified,2019 Ferrari 812 Superfast Base,$418888
www.cars.com/vehicledetail/8241b7f7-12da-4eff-8de1-8f20635515e0/,Ferrari Certified,2018 Ferrari 488 Spider Base,$337995
www.cars.com/vehicledetail/3fc3a0f4-ea6a-4a6a-8eef-8bac27177ea5/,Used,2008 Ferrari F430 Spider,$174888
www.cars.com/vehicledetail/2e4ca728-98aa-4b1b-89f1-3bb75b8022d9/,Used,2019 Ferrari 812 Superfast Base,$439950
www.cars.com/vehicledetail/7bf14f33-6c0a-4846-bcb0-e0c34f4c23a3/,Used,2011 Ferrari 458 Italia Base,$194995
www.cars.com/vehicledetail/f4b2fd5a-c659-4c6d-b56e-4d4184721329/,Used,2009 Ferrari 599 GTB Fiorano,$166995
www.cars.com/vehicledetail/8f774935-8453-49ad-9f8d-8c818c00781b/,Used,1994 Ferrari 348 Spyder,$139995
www.cars.com/vehicledetail/97ffec9e-80b0-44e2-a047-6a2336b8ebba/,Used,2015 Ferrari 458 Spider Base,$337700
www.cars.com/vehicledetail/d8c47986-1e1d-4d99-9f78-d937e7fa3918/,Ferrari Certified,2019 Ferrari 488 Spider Base,$369900
www.cars.com/vehicledetail/380edba2-9745-4f9a-aa46-8faf603793ce/,Ferrari Certified,2020 Ferrari Portofino Base,$279900
www.cars.com/vehicledetail/a79a3205-e261-4e2e-a1fb-09cfa3712d93/,Ferrari Certified,2020 Ferrari 488 Pista Base,$629900
www.cars.com/vehicledetail/84d97d4d-4560-4072-94ac-2cb70210585b/,Used,2016 Ferrari California T,$169895
www.cars.com/vehicledetail/1d2eb274-7d79-4bc2-a3e6-0de5dc01a6e2/,Ferrari Certified,2019 Ferrari Portofino Base,$272990
www.cars.com/vehicledetail/afabba40-4e97-4aff-87c7-271c19574791/,Ferrari Certified,2019 Ferrari Portofino Base (Pricing is not available),$255900
www.cars.com/vehicledetail/13815a2b-6cf1-42e1-9f71-9176b4d46799/,Used,2016 Ferrari California T,$184988
www.cars.com/vehicledetail/1cf7158d-ce90-44d3-bf5b-e45add899ada/,Used,2018 Ferrari 812 Superfast Base,$449888
www.cars.com/vehicledetail/1c1210d6-582c-4d17-8db9-3e607f4895d3/,Ferrari Certified,2019 Ferrari 812 Superfast Base,$469895
www.cars.com/vehicledetail/7b37d853-64bc-4dfa-9283-4bac7258e476/,Ferrari Certified,2018 Ferrari 488 Spider Base,$359990
www.cars.com/vehicledetail/c6c2ef18-d979-4303-8da0-d799b2aaaf0c/,Used,2013 Ferrari 458 Spider Base,$229900
www.cars.com/vehicledetail/0c64dbea-cbc8-4150-b039-b8cbb67b5e12/,Used,2021 Ferrari SF90 Stradale Base,$849895
www.cars.com/vehicledetail/f49aa402-3805-47b6-99e4-d74c80d58a51/,Used,2008 Ferrari F430 Spider,$189900
www.cars.com/vehicledetail/f49ab7d8-60f9-45d8-bf4b-256700e4b547/,Ferrari Certified,2017 Ferrari 488 GTB Coupe,$319995
www.cars.com/vehicledetail/1ae7a193-bcdc-423b-b251-d526d7730f28/,Used,2019 Ferrari 488 Spider Base,$364990
www.cars.com/vehicledetail/49ff406d-75c4-40e6-a238-74c3dd525767/,Used,2015 Ferrari California T,$147900
